ID,gender,seniors,month,payment_method,bill
7590-VHVEG,Female,0,1,Electronic check,29.85
5575-GNVDE,Male,0,34,Mailed check,56.95
3668-QPYBK,Male,0,2,Mailed check,53.85
7795-CFOCW,Male,0,45,Bank transfer (automatic),42.3
9237-HQITU,Female,0,2,Electronic check,70.7
9305-CDSKC,Female,0,8,Electronic check,99.65
1452-KIOVK,Male,0,22,Credit card (automatic),89.1
6713-OKOMC,Female,0,10,Mailed check,29.75
7892-POOKP,Female,0,28,Electronic check,104.8
6388-TABGU,Male,0,62,Bank transfer (automatic),56.15
9763-GRSKD,Male,0,13,Mailed check,49.95
7469-LKBCI,Male,0,16,Credit card (automatic),18.95
8091-TTVAX,Male,0,58,Credit card (automatic),100.35
0280-XJGEX,Male,0,49,Bank transfer (automatic),103.7
5129-JLPIS,Male,0,25,Electronic check,105.5
3655-SNQYZ,Female,0,69,Credit card (automatic),113.25
8191-XWSZG,Female,0,52,Mailed check,20.65
9959-WOFKT,Male,0,71,Bank transfer (automatic),106.7
4190-MFLUW,Female,0,10,Credit card (automatic),55.2
4183-MYFRB,Female,0,21,Electronic check,90.05
8779-QRDMV,Male,1,1,Electronic check,39.65
1680-VDCWW,Male,0,12,Bank transfer (automatic),19.8
1066-JKSGK,Male,0,1,Mailed check,20.15
3638-WEABW,Female,0,58,Credit card (automatic),59.9
6322-HRPFA,Male,0,49,Credit card (automatic),59.6
6865-JZNKO,Female,0,30,Bank transfer (automatic),55.3
6467-CHFZW,Male,0,47,Electronic check,99.35
8665-UTDHZ,Male,0,1,Electronic check,30.2
5248-YGIJN,Male,0,72,Credit card (automatic),90.25
8773-HHUOZ,Female,0,17,Mailed check,64.7
3841-NFECX,Female,1,71,Credit card (automatic),96.35
4929-XIHVW,Male,1,2,Credit card (automatic),95.5
6827-IEAUQ,Female,0,27,Mailed check,66.15
7310-EGVHZ,Male,0,1,Bank transfer (automatic),20.2
3413-BMNZE,Male,1,1,Bank transfer (automatic),45.25
6234-RAAPL,Female,0,72,Bank transfer (automatic),99.9
6047-YHPVI,Male,0,5,Electronic check,69.7
6572-ADKRS,Female,0,46,Credit card (automatic),74.8
5380-WJKOV,Male,0,34,Electronic check,106.35
8168-UQWWF,Female,0,11,Bank transfer (automatic),97.85
8865-TNMNX,Male,0,10,Mailed check,49.55
9489-DEDVP,Female,0,70,Credit card (automatic),69.2
9867-JCZSP,Female,0,17,Mailed check,20.75
4671-VJLCL,Female,0,63,Credit card (automatic),79.85
4080-IIARD,Female,0,13,Electronic check,76.2
3714-NTNFO,Female,0,49,Electronic check,84.5
5948-UJZLF,Male,0,2,Mailed check,49.25
7760-OYPDY,Female,0,2,Electronic check,80.65
7639-LIAYI,Male,0,52,Credit card (automatic),79.75
2954-PIBKO,Female,0,69,Credit card (automatic),64.15
8012-SOUDQ,Female,1,43,Electronic check,90.25
9420-LOJKX,Female,0,15,Credit card (automatic),99.1
6575-SUVOI,Female,1,25,Credit card (automatic),69.5
7495-OOKFY,Female,1,8,Credit card (automatic),80.65
4667-QONEA,Female,1,60,Credit card (automatic),74.85
1658-BYGOY,Male,1,18,Electronic check,95.45
8769-KKTPH,Female,0,63,Credit card (automatic),99.65
5067-XJQFU,Male,1,66,Electronic check,108.45
3957-SQXML,Female,0,34,Credit card (automatic),24.95
5954-BDFSG,Female,0,72,Credit card (automatic),107.5
0434-CSFON,Female,0,47,Electronic check,100.5
1215-FIGMP,Male,0,60,Bank transfer (automatic),89.9
0526-SXDJP,Male,0,72,Bank transfer (automatic),42.1
0557-ASKVU,Female,0,18,Credit card (automatic),54.4
5698-BQJOH,Female,0,9,Electronic check,94.4
5122-CYFXA,Female,0,3,Electronic check,75.3
8627-ZYGSZ,Male,0,47,Electronic check,78.9
3410-YOQBQ,Female,0,31,Mailed check,79.2
3170-NMYVV,Female,0,50,Bank transfer (automatic),20.15
7410-OIEDU,Male,0,10,Mailed check,79.85
2273-QCKXA,Male,0,1,Mailed check,49.05
0731-EBJQB,Female,0,52,Electronic check,20.4
1891-QRQSA,Male,1,64,Bank transfer (automatic),111.6
8028-PNXHQ,Male,0,62,Bank transfer (automatic),24.25
5630-AHZIL,Female,0,3,Bank transfer (automatic),64.5
2673-CXQEU,Female,1,56,Electronic check,110.5
6416-JNVRK,Female,0,46,Credit card (automatic),55.65
5590-ZSKRV,Female,0,8,Mailed check,54.65
0191-ZHSKZ,Male,1,30,Electronic check,74.75
3887-PBQAO,Female,0,45,Credit card (automatic),25.9
5919-TMRGD,Female,0,1,Electronic check,79.35
8108-UXRQN,Female,0,11,Electronic check,50.55
9191-MYQKX,Female,0,7,Bank transfer (automatic),75.15
9919-YLNNG,Female,0,42,Bank transfer (automatic),103.8
0318-ZOPWS,Female,0,49,Bank transfer (automatic),20.15
4445-ZJNMU,Male,0,9,Credit card (automatic),99.3
4808-YNLEU,Female,0,35,Bank transfer (automatic),62.15
1862-QRWPE,Female,0,48,Bank transfer (automatic),20.65
2796-NNUFI,Female,0,46,Mailed check,19.95
3016-KSVCP,Male,0,29,Mailed check,33.75
4767-HZZHQ,Male,0,30,Bank transfer (automatic),82.05
2424-WVHPL,Male,1,1,Electronic check,74.7
7233-PAHHL,Male,0,66,Mailed check,84
6067-NGCEU,Female,0,65,Credit card (automatic),111.05
9848-JQJTX,Male,0,72,Bank transfer (automatic),100.9
8637-XJIVR,Female,0,12,Electronic check,78.95
9803-FTJCG,Male,0,71,Credit card (automatic),66.85
0278-YXOOG,Male,0,5,Mailed check,21.05
3212-KXOCR,Male,0,52,Bank transfer (automatic),21
4598-XLKNJ,Female,1,25,Electronic check,98.5
6380-ARCEH,Male,0,1,Mailed check,20.2
3679-XASPY,Female,0,1,Electronic check,19.45
7123-WQUHX,Male,0,38,Bank transfer (automatic),95
5386-THSLQ,Female,1,66,Bank transfer (automatic),45.55
3192-NQECA,Male,0,68,Bank transfer (automatic),110
6180-YBIQI,Male,0,5,Mailed check,24.3
6728-DKUCO,Female,0,72,Electronic check,104.15
9750-BOOHV,Female,0,32,Mailed check,30.15
8597-CWYHH,Male,0,43,Mailed check,94.35
2848-YXSMW,Male,0,72,Credit card (automatic),19.4
0486-HECZI,Male,0,55,Electronic check,96.75
4549-ZDQYY,Female,0,52,Credit card (automatic),57.95
5712-AHQNN,Female,0,43,Electronic check,91.65
4846-WHAFZ,Female,1,37,Electronic check,76.5
5256-SKJGO,Female,0,64,Electronic check,54.6
3071-VBYPO,Male,0,3,Electronic check,89.85
9560-BBZXK,Female,0,36,Bank transfer (automatic),31.05
5299-RULOA,Female,0,10,Electronic check,100.25
8402-OOOHJ,Female,0,41,Mailed check,20.65
9445-ZUEQE,Male,0,27,Credit card (automatic),85.2
1091-SOZGA,Female,0,56,Credit card (automatic),99.8
2928-HLDBA,Female,0,6,Mailed check,20.7
0404-SWRVG,Male,0,3,Electronic check,74.4
6497-TILVL,Female,0,7,Mailed check,50.7
7219-TLZHO,Female,0,4,Mailed check,20.85
4622-YNKIJ,Male,0,33,Electronic check,88.95
4412-YLTKF,Female,1,27,Electronic check,78.05
6734-PSBAW,Male,0,72,Bank transfer (automatic),23.55
3930-ZGWVE,Male,0,1,Mailed check,19.75
2639-UGMAZ,Male,1,71,Electronic check,56.45
2876-GZYZC,Female,0,13,Electronic check,85.95
6207-WIOLX,Female,0,25,Credit card (automatic),58.6
8587-XYZSF,Male,0,67,Bank transfer (automatic),50.55
3091-FYHKI,Male,0,1,Electronic check,35.45
2372-HWUHI,Male,0,2,Electronic check,44.35
7799-LGRDP,Female,0,43,Credit card (automatic),25.7
7850-VWJUU,Female,0,23,Bank transfer (automatic),75
3774-VBNXY,Female,0,64,Mailed check,20.2
6217-KDYWC,Male,0,57,Mailed check,19.6
0390-DCFDQ,Female,1,1,Mailed check,70.45
3146-MSEGF,Female,1,72,Credit card (automatic),88.05
4080-OGPJL,Female,0,8,Electronic check,71.15
1095-WGNGG,Female,0,61,Bank transfer (automatic),101.05
2636-SJDOU,Male,0,64,Credit card (automatic),84.3
1131-QQZEB,Male,1,71,Bank transfer (automatic),23.95
5716-EZXZN,Female,0,65,Credit card (automatic),99.05
6837-BJYDQ,Male,0,3,Mailed check,19.6
2135-RXIHG,Male,0,1,Electronic check,45.65
6440-DKQGE,Male,0,30,Credit card (automatic),64.5
3466-BYAVD,Male,0,15,Mailed check,69.5
3780-YVMFA,Female,0,8,Electronic check,68.55
3874-EQOEP,Male,0,7,Mailed check,95
1679-JRFBR,Female,0,70,Credit card (automatic),108.15
9073-ZZIAY,Male,0,62,Electronic check,86.1
3077-RSNTJ,Female,0,6,Mailed check,19.7
6551-GNYDG,Female,0,14,Bank transfer (automatic),80.9
9167-APMXZ,Female,0,22,Bank transfer (automatic),84.15
2749-CTKAJ,Male,0,22,Mailed check,20.15
6371-NZYEG,Male,0,16,Mailed check,64.25
7554-NEWDD,Male,0,10,Bank transfer (automatic),25.7
8992-VONJD,Female,0,13,Electronic check,56
0867-MKZVY,Female,0,20,Electronic check,82.4
4482-EWFMI,Female,0,2,Electronic check,69.7
4648-YPBTM,Male,0,53,Bank transfer (automatic),73.9
2907-ILJBN,Female,0,11,Mailed check,20.6
6345-FZOQH,Male,0,69,Mailed check,19.9
3376-BMGFE,Female,0,4,Bank transfer (automatic),70.9
5997-OPVFA,Male,0,72,Bank transfer (automatic),89.05
3445-HXXGF,Male,1,58,Electronic check,45.3
1159-WFSGR,Female,0,16,Electronic check,20.4
7654-YWJUF,Male,0,43,Bank transfer (automatic),84.25
1875-QIVME,Female,0,2,Electronic check,104.4
6727-IOTLZ,Male,0,14,Mailed check,81.95
0691-JVSYA,Female,0,53,Bank transfer (automatic),94.85
5918-VUKWP,Female,0,32,Bank transfer (automatic),20.55
1744-JHKYS,Female,0,34,Electronic check,24.7
2656-FMOKZ,Female,1,15,Mailed check,74.45
2070-FNEXE,Female,1,7,Bank transfer (automatic),76.45
5947-SGKCL,Female,0,15,Bank transfer (automatic),105.35
3712-PKXZA,Male,0,61,Credit card (automatic),20.55
6317-YPKDH,Female,0,1,Bank transfer (automatic),29.95
6582-OIVSP,Female,0,1,Mailed check,45.3
9367-WXLCH,Male,0,8,Bank transfer (automatic),84.5
5524-KHNJP,Male,0,33,Credit card (automatic),74.75
1918-ZBFQJ,Female,0,13,Electronic check,79.25
1024-GUALD,Female,0,1,Electronic check,24.8
4827-USJHP,Male,0,20,Mailed check,51.8
8167-GJLRN,Male,0,3,Electronic check,30.4
0956-SYCWG,Female,0,13,Electronic check,19.65
8017-UVSZU,Female,0,40,Credit card (automatic),56.6
7100-FQPRV,Male,0,43,Credit card (automatic),71.9
2472-OVKUP,Male,0,6,Electronic check,91
2984-RGEYA,Female,0,69,Bank transfer (automatic),19.75
9680-NIAUV,Female,0,72,Credit card (automatic),109.7
2146-EGVDT,Male,0,59,Credit card (automatic),19.3
2604-IJPDU,Female,0,20,Electronic check,96.55
9178-JHUVJ,Male,0,24,Bank transfer (automatic),24.1
6168-YBYNP,Male,0,59,Electronic check,111.35
7255-SSFBC,Male,0,72,Bank transfer (automatic),112.25
3645-DEYGF,Male,0,1,Mailed check,20.75
9323-HGFWY,Female,0,27,Credit card (automatic),101.9
8544-GOQSH,Female,0,14,Credit card (automatic),80.05
3363-DTIVD,Male,0,71,Electronic check,105.55
7018-WBJNK,Male,0,13,Credit card (automatic),78.3
9142-KZXOP,Male,0,44,Credit card (automatic),68.85
7674-YTAFD,Female,0,33,Bank transfer (automatic),79.95
6348-SNFUS,Male,0,72,Credit card (automatic),55.45
1285-OKIPP,Male,0,1,Electronic check,79.9
7825-ECJRF,Female,0,19,Electronic check,106.6
1347-KTTTA,Male,0,64,Credit card (automatic),102.45
7841-TZDMQ,Male,0,2,Credit card (automatic),46
4195-NZGTA,Female,0,1,Electronic check,25.25
7157-SMCFK,Male,0,61,Mailed check,19.75
4709-LKHYG,Female,0,29,Electronic check,20
2504-DSHIH,Male,1,23,Electronic check,86.8
0699-NDKJM,Female,0,57,Bank transfer (automatic),58.75
9286-BHDQG,Male,0,72,Credit card (automatic),45.25
0230-WEQUW,Male,0,66,Bank transfer (automatic),56.6
2040-LDIWQ,Male,0,65,Bank transfer (automatic),84.2
6496-JDSSB,Female,0,8,Bank transfer (automatic),80
9408-SSNVZ,Female,0,4,Electronic check,70.15
4443-EMBNA,Female,0,71,Bank transfer (automatic),24.75
6469-MRVET,Male,0,1,Electronic check,20.2
0742-MOABM,Male,0,4,Mailed check,50.05
5961-VUSRV,Female,0,12,Bank transfer (automatic),19.35
6778-JFCMK,Male,0,24,Mailed check,50.6
6341-JVQGF,Female,0,31,Mailed check,81.15
2232-DMLXU,Female,0,1,Mailed check,55.2
4811-JBUVU,Male,0,30,Credit card (automatic),89.9
0945-TSONX,Female,0,47,Credit card (automatic),85.3
2651-ZCBXV,Male,0,54,Credit card (automatic),108
3316-UWXUY,Male,0,50,Credit card (automatic),93.5
8937-RDTHP,Male,0,1,Mailed check,84.6
7083-MIOPC,Female,0,72,Credit card (automatic),20.25
1984-GPTEH,Female,0,29,Electronic check,25.15
1251-KRREG,Male,0,2,Mailed check,54.4
0621-JFHOL,Female,0,10,Mailed check,29.6
9903-LYSAB,Male,0,18,Electronic check,73.15
0094-OIFMO,Female,1,11,Electronic check,95
9227-UAQFT,Male,0,16,Mailed check,19.75
7301-ABVAD,Female,0,72,Bank transfer (automatic),86.6
6614-FHDBO,Male,0,72,Bank transfer (automatic),109.2
7576-ASEJU,Female,0,41,Credit card (automatic),74.7
9058-HRZSV,Female,1,65,Electronic check,94.4
4522-AKYLR,Female,1,13,Electronic check,54.8
0221-WMXNQ,Male,1,4,Electronic check,75.35
0303-UNCIP,Male,0,41,Mailed check,65
9947-OTFQU,Male,1,15,Electronic check,74.4
0322-YINQP,Male,0,1,Mailed check,48.55
0959-WHOKV,Male,0,42,Electronic check,99
4075-JFPGR,Female,0,51,Electronic check,93.5
4629-NRXKX,Female,0,2,Electronic check,70.4
9514-JDSKI,Male,1,1,Electronic check,40.2
3282-ZISZV,Male,0,32,Credit card (automatic),83.7
3675-YDUPJ,Male,0,10,Mailed check,19.85
4111-BNXIF,Female,0,67,Electronic check,59.55
7017-VFHAY,Female,0,61,Credit card (automatic),115.1
6655-LHBYW,Male,0,50,Credit card (automatic),114.35
4959-JOSRX,Female,0,2,Credit card (automatic),44.6
5046-NUHWD,Female,1,29,Electronic check,45
7273-TEFQD,Male,1,3,Electronic check,41.15
3606-TWKGI,Male,1,13,Electronic check,106.9
7529-ZDFXI,Male,1,57,Electronic check,89.85
7605-BDWDC,Female,0,31,Bank transfer (automatic),49.85
1950-KSVVJ,Female,0,45,Mailed check,113.3
0123-CRBRT,Female,0,61,Mailed check,88.1
6292-TOSSS,Male,0,50,Bank transfer (automatic),24.9
3197-ARFOY,Female,1,19,Mailed check,105
6323-AYBRX,Male,0,59,Mailed check,19.35
7014-ZZXAW,Female,0,71,Credit card (automatic),24.25
4385-GZQXV,Female,1,16,Electronic check,94.45
7633-MVPUY,Male,0,57,Electronic check,59.75
6366-ZGQGL,Male,0,1,Bank transfer (automatic),24.8
4716-HHKQH,Male,1,20,Electronic check,107.05
5940-AHUHD,Male,0,1,Mailed check,70.6
6432-TWQLB,Male,0,5,Electronic check,85.4
4484-GLZOU,Female,0,52,Electronic check,105.05
3179-GBRWV,Male,1,21,Bank transfer (automatic),64.95
8645-KWHJO,Male,0,14,Electronic check,55
4130-MZLCC,Female,0,5,Bank transfer (automatic),50.55
0314-TKOSI,Female,0,6,Mailed check,55.15
8229-MYEJZ,Female,0,10,Electronic check,51.2
2080-SRCDE,Female,0,1,Mailed check,25.4
9577-WJVCQ,Female,0,68,Mailed check,54.45
9512-UIBFX,Male,0,18,Mailed check,95.15
6202-DYYFX,Female,0,22,Credit card (automatic),76
3808-HFKDE,Female,0,20,Electronic check,44.35
5583-SXDAG,Male,0,1,Electronic check,70
3488-PGMQJ,Male,1,8,Electronic check,74.5
3580-REOAC,Male,0,10,Credit card (automatic),44.85
7534-BFESC,Male,1,24,Electronic check,76.1
3727-OWVYD,Male,0,35,Mailed check,61.2
2294-SALNE,Male,0,23,Mailed check,86.8
4847-TAJYI,Female,1,6,Electronic check,89.35
1563-IWQEX,Female,0,12,Mailed check,19.7
8203-XJZRC,Male,0,1,Mailed check,20.25
6556-DBKZF,Female,0,71,Electronic check,76.05
6851-WEFYX,Male,1,35,Electronic check,100.8
2985-JUUBZ,Male,0,40,Electronic check,74.55
6390-DSAZX,Female,0,1,Mailed check,73.6
0895-LMRSF,Male,0,23,Bank transfer (automatic),64.9
8098-LLAZX,Female,1,4,Electronic check,95.45
8266-VBFQL,Male,0,4,Electronic check,90.4
8181-YHCMF,Female,0,68,Credit card (automatic),60.3
2240-HSJQD,Male,0,38,Mailed check,81.85
1248-DYXUB,Male,0,52,Mailed check,24.8
0265-EDXBD,Male,1,32,Electronic check,74.9
4115-BNPJY,Male,0,29,Mailed check,75.55
3167-SNQPL,Male,1,38,Electronic check,101.15
4091-TVOCN,Male,0,48,Credit card (automatic),78.75
1098-TDVUQ,Female,0,1,Bank transfer (automatic),19.25
7277-OZCGZ,Female,0,22,Electronic check,89.05
1557-EMYVT,Female,0,43,Credit card (automatic),115.05
2799-ARNLO,Female,1,5,Electronic check,69.35
7563-BIUPC,Male,0,5,Electronic check,80.6
5027-YOCXN,Male,0,51,Credit card (automatic),110.05
3973-SKMLN,Male,0,71,Credit card (automatic),19.9
2321-OMBXY,Female,0,38,Credit card (automatic),80.3
2840-XANRC,Male,1,24,Electronic check,93.15
6745-JEFZB,Male,0,35,Credit card (automatic),91.5
5020-ZSTTY,Female,1,54,Bank transfer (automatic),82.45
9880-TDQAC,Female,0,72,Electronic check,60
8705-WZCYL,Male,0,1,Electronic check,44.8
7102-JJVTX,Female,0,9,Mailed check,48.6
8626-PTQGE,Male,0,69,Bank transfer (automatic),60.05
4983-CLMLV,Female,0,52,Credit card (automatic),102.7
5701-YVSVF,Female,1,11,Electronic check,82.9
5804-LEPIM,Female,1,2,Electronic check,70.35
5697-GOMBF,Female,1,28,Electronic check,35.9
2739-CACDQ,Female,1,17,Credit card (automatic),82.65
9385-EHGDO,Female,0,35,Mailed check,19.85
9498-FIMXL,Female,0,8,Mailed check,19.2
2379-GYFLQ,Male,0,46,Credit card (automatic),94.9
0122-OAHPZ,Female,0,7,Electronic check,73.85
2868-SNELZ,Female,0,2,Mailed check,80.6
4322-RCYMT,Male,0,68,Bank transfer (automatic),75.8
6680-NENYN,Female,0,43,Electronic check,104.6
2088-IEBAU,Female,0,68,Electronic check,88.15
7982-VCELR,Female,0,36,Credit card (automatic),94.8
1343-EHPYB,Male,0,63,Electronic check,103.4
6035-BXTTY,Female,1,32,Bank transfer (automatic),54.65
6885-PKOAM,Female,0,71,Credit card (automatic),85.75
7520-HQWJU,Female,0,66,Bank transfer (automatic),67.45
9639-BUJXT,Male,0,63,Mailed check,20.5
5924-SNGKP,Female,0,41,Credit card (automatic),20.25
0021-IKXGC,Female,1,1,Electronic check,72.1
2034-GDRCN,Female,0,2,Electronic check,90.4
8966-SNIZF,Female,0,70,Bank transfer (automatic),19.45
6243-OZGFH,Female,0,23,Electronic check,44.95
4654-DLAMQ,Female,1,64,Bank transfer (automatic),97
0513-RBGPE,Male,0,37,Credit card (automatic),62.8
5160-UXJED,Male,0,17,Mailed check,44.6
4115-NZRKS,Female,1,7,Electronic check,89.15
0219-YTZUE,Male,0,4,Bank transfer (automatic),84.8
0623-IIHUG,Female,1,21,Electronic check,41.9
4572-DVCGN,Female,0,10,Bank transfer (automatic),80.25
3351-NGXYI,Female,1,16,Electronic check,54.1
8984-EYLLL,Male,0,64,Electronic check,105.25
9057-MSWCO,Male,1,27,Credit card (automatic),30.75
9833-TGFHX,Male,0,42,Electronic check,97.1
9294-TDIPC,Male,0,5,Mailed check,20.2
5229-DTFYB,Female,0,41,Bank transfer (automatic),98.8
0104-PPXDV,Male,0,58,Credit card (automatic),50.3
5176-LMJXE,Female,0,47,Mailed check,20.55
3583-KRKMD,Male,0,18,Bank transfer (automatic),75.9
1010-DIAUQ,Male,0,5,Bank transfer (automatic),96.5
9069-LGEUL,Male,0,23,Bank transfer (automatic),59.95
